INCIDENT NUMBER,CHARGE ID,CHARGE DATE,REPORT DATE,APPROVED DATE,ATTEMPTED OR COMMITTED,STREET ADDRESS,SUBADDRESS,CITY,STATE,ZIP CODE,DISTRICT,ZONE,SUBZONE,STATUTE TITLE,STATUTE DESCRIPTION,STATUTE CATEGORY,CRIME AGAINST,NIBRS CODE,NIBRS DESCRIPTION,CENSUS BLOCK GROUP,COUNCIL DISTRICT,CRIME PREVENTION DISTRICT,NEIGHBORHOOD,LONGITUDE,LATITUDE,GEOLOCATION
21-133694,4EDE5DAC-4F5B-4BC0-BE63-B3852F2F81BF,12/30/2021 03:57:38 PM,12/30/2021 04:37:34 PM,05/15/2023 12:38:20 PM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-017414,CAA95A34-7D63-4A7A-A765-66A55F9B61C7,02/24/2021 05:59:42 AM,02/24/2021 07:01:35 AM,02/10/2023 03:12:17 PM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-037067,20F9E3EC-8878-4849-BE7A-6CD4AAA61A81,04/20/2021 08:58:06 AM,04/20/2021 07:03:10 PM,05/24/2021 01:51:42 PM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,14:35.3(I),DOMESTIC ABUSE BATTERY - CHILD ENDANGERMENT,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-028695,E0DBB6AF-A1CC-4DCF-ADE7-E2577EF3E95B,03/28/2021 01:43:14 AM,03/28/2021 11:18:23 AM,03/11/2023 10:41:53 AM,COMMITTED,,,BATON ROUGE,LA,70802,5,5A,5A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-056506,64CD3F71-FAA1-494F-BC4E-24165E20AECE,06/11/2021 02:42:45 PM,06/11/2021 02:44:38 PM,06/14/2021 10:31:04 AM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A2,14:43.1.1,MISDEMEANOR SEXUAL BATTERY,SEXUAL ASSAULT,PERSON,11C,SEXUAL ASSAULT WITH AN OBJECT,,10,,DOWNTOWN EAST,,,
21-045355,4567B16C-762E-4592-A922-A9F59FFB8C8C,05/12/2021 02:50:32 PM,05/12/2021 02:53:16 PM,03/31/2023 08:34:45 AM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,13:35.3,DOMESTIC ABUSE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-104638,F8AA8FE4-940F-419B-A628-6E1351335C63,10/13/2021 12:10:12 PM,10/13/2021 02:56:35 PM,10/14/2021 03:11:09 PM,COMMITTED,900 N 19TH ST,,BATON ROUGE,LA,70802,1,1A,1A2,13:38,SIMPLE ASSAULT,ASSAULT,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.16930,30.45677,POINT (-91.169302 30.456772)
21-117587,952A412A-871F-4A52-ABBB-B44A7FFE2867,11/16/2021 04:06:51 PM,11/16/2021 06:06:20 PM,11/17/2021 02:27:43 PM,COMMITTED,1246 LAUREL ST,,BATON ROUGE,LA,70802,1,1A,1A2,13:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17659,30.45058,POINT (-91.176589 30.450582)
21-039260,B693146B-6725-482D-8679-E7563D0C4F65,04/26/2021 07:13:12 AM,05/03/2021 08:36:38 AM,03/28/2023 12:33:27 PM,COMMITTED,623 N 19TH ST,,BATON ROUGE,LA,70802,1,1A,1A2,13:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.16972,30.45371,POINT (-91.169724 30.453713)
21-071035,B34995FE-FFBF-4144-8F74-2F956B059C92,07/19/2021 11:31:00 PM,07/19/2021 11:31:00 PM,07/24/2021 01:12:42 AM,ATTEMPTED,700 N 17TH ST,,BATON ROUGE,LA,70802,1,1A,1A2,14:30,FIRST DEGREE MURDER,HOMICIDE,PERSON,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,,10,,DOWNTOWN EAST,-91.17126,30.45381,POINT (-91.171257 30.45381)
